,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
2296,Certified hustler,houstatlantavegas,Certified hustler.. OG!,False,2022-04-17 16:24:49,@Stllaqssn Ratio,,Twitter for iPhone,Stllaqssn Ratio
2297,ozboundsweetpea1,"Haworth, England",,False,2022-04-17 16:24:49,@GBNEWS When will you learn her name?...you are supposed to be educated!.... The Duchess of Cambridge,,Twitter for Android,GBNEWS When learn name supposed educated Duchess Cambridge
2298,🛸,,sunde,False,2022-04-17 16:24:49,the duality of not wanting to be perceived and being an absolute attention whore,,Twitter for iPhone,duality wanting perceived absolute attention whore
2299,Shikhar,Locha-e-Ulfat ho gaya,"26, Software Engineer at @Cisco | #Crypto Investor | #NFT | #Web3 #Blockchain Developer",False,2022-04-17 16:24:49,@ithinkyouluvme @bigppgf It look so perfect on you.,,Twitter for Android,ithinkyouluvme bigppgf look perfect
2300,Bridget 🖤🥀 62,she/her • ²/₇ ,jack’s lane :) / #JONAH : “love you too!” / follow the backup!!: @inluvwithaverys,False,2022-04-17 16:24:49,"i love u i love u i love u, really hoping things work out and we get to meet sometime this year thank u for being my best friend, I LOVE U 🤍",,Twitter for iPhone,love love love really hoping thing work meet sometime year thank best friend LOVE
2301,Jade Curtiss,,I’m glad I don’t know any Jade with such poor taste in friends. (Bot featuring Jade Curtiss quotes from Tales of The Abyss. 500+ quotes. A dozen or so memes.),False,2022-04-17 16:24:49,Are you saying he'd be better off where we can keep an eye on him? I suppose we have no choice.,,twittbot.net,saying better keep suppose choice
2302,David A,United States,I endeavor to social media better.,False,2022-04-17 16:24:49,"@DJJDRocks @pixelatedboat A lot of folks think Wednesday is the correct day. It’s a misinterpretation apparently that led to Friday. But we continue tradition like we do for other stuff.  I don’t know anybody who genuinely thinks December 25th corresponds to His birth, for example",,Twitter for iPhone,DJJDRocks pixelatedboat folk think Wednesday correct misinterpretation apparently Friday continue tradition like stuff know anybody genuinely think December 25th corresponds birth example
2303,✨Spgatobomb💣,,a place to put all my starbomb/nsp/twrp stuff⭐️ (they/them) main: @spgatomagic,False,2022-04-17 16:24:49,Game gyaru anime when?🤨 https://t.co/FNVPZjflG7,,Twitter for iPhone,Game gyaru anime http //t.co/FNVPZjflG7
2304,te.,,the 1 💎,False,2022-04-17 16:24:49,i really need my car right now 🥲😵‍💫,,Twitter for iPhone,really need right 🥲😵‍💫
2305,lunaqueenbee,"Jásztelek, Magyarország",likee account csankó brigitta YouTube csankó brigitta TikTok Lunaqueenbee32,False,2022-04-17 16:24:49,"Pepsi Commercial HD - We Will Rock You (feat. Britney Spears, Beyonce, P... https://t.co/dy89LQaIhr @YouTube által",,Twitter Web App,Pepsi Commercial Will Rock feat Britney Spears Beyonce http //t.co/dy89LQaIhr YouTube által
2306,elastic mind×͜× harry's house,ela/dela,"soup, sex and sun salutations ✨",False,2022-04-17 16:24:49,@bixwalls fine line,,Twitter for Android,bixwalls fine line
2307,CESAR WAS REPLACED,,"@IDIOTIC_AGOTI | Mun Minor, nsfw dni | Canon, Fanon, AU quotes | PFP: @KeithlinNicklin",False,2022-04-17 16:24:49,"@M4RKH3ATHCL1FF ""Mmmmyffucking ffface. It got hit with oil again.""

Again?",,Twitter for Android,M4RKH3ATHCL1FF Mmmmyffucking ffface Again
2308,lala⁷ ♡🌟,,the beginning of a new era | 061022,False,2022-04-17 16:24:49,this makes me so emotional seeing them grow up 🥲🥲🥲 wondering what this years festa family portrait will be 🥺💜,,Twitter for iPhone,make emotional seeing grow wondering year festa family portrait
2309,RamVarma,,@indian@comrade@nondreamer@insider,False,2022-04-17 16:24:49,@IRiyaSuman Yes wait for next Sunday 😜,,Twitter for Android,IRiyaSuman wait next Sunday
2310,b,she/they. al,public enemy + misandrist,False,2022-04-17 16:24:49,@wakeuppcam WHO R U,,Twitter for iPhone,wakeuppcam
2311,blelan,Morlaix,"Breton, dirige l'Office de tourisme ""Baie de Morlaix"", amateur sans limites de disques, films, séries, bouquins, R16 et déambulations photographiques",False,2022-04-17 16:24:49,"Pink Floyd « Meddle » #1971 .
.
.
.
.
 #vinyl #vinyladdict #vinyle #vinylcollection #vinylcommunity #music #nowplaying #nowspinning #ontheturntable #vinylcollectionpost #musique  #recordcollection https://t.co/CUXyYJG6PY","['vinyl', 'vinyladdict', 'vinyle', 'vinylcollection', 'vinylcommunity', 'music']",Instagram,Pink Floyd Meddle 1971 vinyl vinyladdict vinyle vinylcollection vinylcommunity music nowplaying nowspinning ontheturntable vinylcollectionpost musique recordcollection http //t.co/CUXyYJG6PY
2312,Delilah,,I’d rather be hated for who I am than loved for who I am not,False,2022-04-17 16:24:49,onlyfans grandmother leak Photos and videos leaked by Fiz Onlyfans Guru (Check My Profile for complete Video Link,,Twitter Web App,onlyfans grandmother leak Photos video leaked Onlyfans Guru Check Profile complete Video Link
2313,bella// HARRYCHELLA PT 2: 5 DAYS,,"destiel/spn, harry styles, halsey, and lots of tears :)",False,2022-04-17 16:24:49,@hourlydeancas they’re also holding hands in that last frame,,Twitter for iPhone,hourlydeancas also holding hand last frame
2314,Yuuu,,I love bread,False,2022-04-17 16:24:49,"@NeitoRequiemYT Db fans deadass think that strong = good character
And weak = bad character
That's why people love characters like jiren and dbz broly more than piccolo and tien.",,Twitter for Android,NeitoRequiemYT fan deadass think strong good character weak character That people love character like jiren broly piccolo tien
2315,Maj,Philadelphia pa,"Philly hairstylist! 
Instagram | @prettylittlemaj2 & @majonhair |",False,2022-04-17 16:24:49,Single friends really don’t understand that when you have friends in relationships no we can’t hang outside til 5am 🤣,,Twitter Web App,Single friend really understand friend relationship hang outside
2316,Jamez,"Cape Town, South Africa","Name: James i like chatting and liking tweets, I'm 19 | Bisexual | Taken By My Lovely Girlfriend 💕, love making friends even new people i also like helping too",False,2022-04-17 16:24:49,@SnowyFoxxie do you not like haircuts owo,,Twitter for Android,SnowyFoxxie like haircut
2317,AntiSocial ExtroverT™,,Catholic| Content Writer| Chemist| Manchester United|,False,2022-04-17 16:24:49,@shaquille__t Send your account details asap,,Twitter for Android,shaquille__t Send account detail asap
2318,Summer 🏳️‍🌈🏳️‍⚧️🖖🏻,Non-binary demisexual lesbian,Lesbian. Part of many fandoms (see my header). Be kind always. 'People are going to judge you anyway so you might as well do what you want.' - Taylor Swift,False,2022-04-17 16:24:49,@EvansVibes_ So true,,Twitter for Android,EvansVibes_ true
2319,raaa^^,,salah satu manusia yang ada di bumi,False,2022-04-17 16:24:49,"@junhwan131 Here!!!

iKON FLASHBACK POSTER
#iKON4thMiniAlbum_May3rd
@YG_iKONIC #iKON #아이콘","['iKON4thMiniAlbum_May3rd', 'iKON', '아이콘']",Twitter for iPhone,junhwan131 Here iKON FLASHBACK POSTER iKON4thMiniAlbum_May3rd YG_iKONIC iKON
2320,Capt. Sanjeev Chopra,Pune,"seafarer, reader,writer, dreamer and nature lover.
instagram handle- captain_chopra7",False,2022-04-17 16:24:49,@twins0653 Beautiful Photograph !,,Twitter for Android,twins0653 Beautiful Photograph
2321,Fiona Rumgay,Ireland,R,False,2022-04-17 16:24:49,"@PaulByrne_1 @VirginMediaNews Why do we not know what the problem is? Would stop speculation, don't understand why everything has to be a secret in this country. Just hoping it's not serious",,Twitter for Android,PaulByrne_1 VirginMediaNews know problem Would stop speculation understand everything secret country Just hoping serious
2322,Employee pics,my world no longer exists ,"professional video store clerk 1996 - 2006. providing movie recommendations, and info. because im better then a streaming algorithm. #recomendmeamovie",False,2022-04-17 16:24:49,@MovieFanReview1 Love this movie! A definite recommend!,,Twitter for iPhone,MovieFanReview1 Love movie definite recommend
2323,ZenoSalancy,,The world is heading towards collapse.  Why doesn't anyone want to wake up?,False,2022-04-17 16:24:49,"@ChristyReedy7 Because this is not genocide and 🇺🇦 have committed too many sins.  However, that's not the point at all.  The fact is that you are substituting concepts, and you think that you are right.  The essence of this holiday and the very essence of the divine in general is different.",,Twitter for Android,ChristyReedy7 Because genocide committed many sin However point fact substituting concept think right essence holiday essence divine general different
2324,bot.,,ex-KGB. push through it all. Memento Mori.,False,2022-04-17 16:24:49,Yoruba man please 😂 https://t.co/Cdr1NwRrBi,,Twitter for Android,Yoruba please http //t.co/Cdr1NwRrBi
2325,Praveen🇮🇳,"नयी दिल्ली, भारत",Chartered Accountant | Freelancer | Business Enabler| Smule Singer | Proud Indian | Motivator | राम भक्त,False,2022-04-17 16:24:49,@CA_KashyapG What will happen to 3D glasses now?🤔,,Twitter for iPhone,CA_KashyapG What happen glass
2326,Harry 'DocDa' Evans @ i68,"South West, England","LoL/Valo Caster. BSc (Hons) Sports Psychology. 

Social Media/Community Intern @nse_gg

DM me:
docdaprofessional@gmail.com",False,2022-04-17 16:24:49,@_Shiklin_ @GodFistJambo It's fucking Jambo time,,Twitter for Android,_Shiklin_ GodFistJambo fucking Jambo time
2327,Sabrina Bae ✨,,"• Liverpool • | Gemini 13.06 | Lover 🥺 || Tweets for Business || Check out @ErawShoePlug for affordable footwear 😊 |
Don't crush on me, it's not worth it!",False,2022-04-17 16:24:49,@robinson_iiv I can imagine,,Twitter for Android,robinson_iiv imagine
2328,*.✧.*Ritalin,Kudurtan şehir,yenilmez albümü kadar protest,False,2022-04-17 16:24:49,@emrullahiyan @hlnhlnzrl Bruh moment,,Twitter for Android,emrullahiyan hlnhlnzrl Bruh moment
2329,generator,,,False,2022-04-17 16:24:49,virus dancing infront of the inlet,,Beautiful Morning!,virus dancing infront inlet
2330,briix,,,False,2022-04-17 16:24:49,@resteasyflow @ApeyyFA @binqke @nineopps Agreed,,Twitter for Android,resteasyflow ApeyyFA binqke nineopps Agreed
2331,Yusuf,,Outlaw,False,2022-04-17 16:24:49,@resteasyflow @ApeyyFA @binqke @nineopps Agreed,,Twitter Web App,resteasyflow ApeyyFA binqke nineopps Agreed
2332,M,,"ARIES ♈
Boss M😜",False,2022-04-17 16:24:49,@resteasyflow @ApeyyFA @binqke @nineopps Agreed,,Twitter for Android,resteasyflow ApeyyFA binqke nineopps Agreed
2333,Lemon ||🚦🔱||,,"my name is Sam/lemon my pronouns are he/him/it's/it

(minor!)

PFP art by @bunni_bott",False,2022-04-17 16:24:49,@whimsykinsey Happy birthday bob,,Twitter for Android,whimsykinsey Happy birthday
2334,DumbpiecAzure.eth,,Zombie ninja. Internetaholic. Beer evangelist. Incurable entrepreneur. Organizer. Food practitioner.,False,2022-04-17 16:24:49,@whimsykinsey Happy birthday bob,,Twitter Web App,whimsykinsey Happy birthday
2335,ᴊʜᴀ,🇵🇭,🔸 she/her || Genshin / Valorant / Anime || MANIFESTING KAZUHA AND CHILDE,False,2022-04-17 16:24:49,"@evramaki SHE'S FULLY BUILT TOO, TAKE IT OR LEAVE IT",,Twitter for Android,evramaki FULLY BUILT TAKE LEAVE
2336,PJ,,6teen • 333 🤍 • all glory to God,False,2022-04-17 16:24:49,@vibesscheyy love is in the air,,Twitter for iPhone,vibesscheyy love
2337,lau .ㅎㅅㅎ. thursday’s child,18:18 수빈 ♥️,imagine following me because you think i’m funny and then BOOM 1000 tweets in a row crying over TXT | she/her,False,2022-04-17 16:24:49,i’m so sad https://t.co/xjw4A5C4l9,,Twitter for iPhone,http //t.co/xjw4A5C4l9
2338,Colleen McDonald,Greater Sudbury / Grand Sudbur,"Educator, Principal, devoted to literacy for all, reader, runner, kayaker",False,2022-04-17 16:24:49,Day 697 of #RunStreak with a morning 3.6 km run. #runeveryday #EducatorsONtherun,"['RunStreak', 'runeveryday', 'EducatorsONtherun']",Twitter for iPhone,RunStreak morning runeveryday EducatorsONtherun
2339,satish n,,,False,2022-04-17 16:24:49,@thehawkeyex @htTweets @Spoof_Junkey Book this lady under UAPA,,Twitter for Android,thehawkeyex htTweets Spoof_Junkey Book lady UAPA
2340,theR’lover,,just to follow my dear’s steps.,False,2022-04-17 16:24:49,YG truly waste R’s talent they just keep choosing loud songs instead of new genres of music especially R&amp;B which def suit her voice and i’m sure she will love those her taste says a lot 😭 https://t.co/VYmH5tF8av,,Twitter for iPhone,truly waste talent keep choosing loud song instead genre music especially suit voice sure love taste say http //t.co/VYmH5tF8av
2341,Josh Fenton-Glynn 🌻,Calderdale,Labour Calderdale Councillor and Cabinet member for Adult Services and Wellbeing. Mediocre runner. Ex PPC Casework- councillor.jfenton-glynn@calderdale.gov.uk,False,2022-04-17 16:24:49,@redskyatnight Makes their membership of the House of Lords extraordinary,,Twitter for iPhone,redskyatnight Makes membership House Lords extraordinary
2342,April,NorCal🐻,Dogs are my favorite people❤️🐾 Happily Married🤗 Vote Blue💙 Vaxxed AF💉 NO DM’s🙅🏼‍♀️ #Resist #BLM #ProChoice #LGBTQIA #EndGunViolence #Fauci #GoodTrouble,False,2022-04-17 16:24:49,"@thamemeweaver These two love me, motivate me, encourage me and always make me feel good🤗🐾 And I do this…🤣 Floyd had surgery last week so I added stickers to match the theme! Wallace is waiting for the treat that comes after my shenanigans! Happy Easter🐰🐾 https://t.co/eH8kPpklIQ",,Twitter for iPad,thamemeweaver These love motivate encourage always make feel good🤗🐾 this…🤣 Floyd surgery last week added sticker match theme Wallace waiting treat come shenanigan Happy Easter🐰🐾 http //t.co/eH8kPpklIQ
2343,Novie Nov,Medina (Brooklyn),Artist. Earth.Wiz. Master Profanitaire. Your boos mean nothing. I see what makes you cheer. Check out my content below 👇🏽,False,2022-04-17 16:24:49,Lmfaoooo https://t.co/MMII2OdEWU,,Twitter for iPhone,Lmfaoooo http //t.co/MMII2OdEWU
2344,dubai,"Bekasi, Jawa Barat",panggil aja dubai okei,False,2022-04-17 16:24:49,@thvpj_ done ta,,Twitter for Android,thvpj_ done
2345,NatsCats 😻🌴✌️✊🍹🌊💙 🦋🙋‍♀️,,"#fightfinished Wash Nats, Caps, Wiz, ECU Pirates, Duke, Go Army
#BidenHarris2020 
 #vaxxed  #adoptdontshop, love animals,food,beach
💙🐾☮🐈🐕",False,2022-04-17 16:24:49,@MarkZuckerman What is wrong?,,Twitter for Android,MarkZuckerman What wrong
2346,Luke Nonato,,,False,2022-04-17 16:24:49,"@jphabac I have high regard to both gents given their experiences &amp; credentials. They could even be at par with Leni at that; and even more qualified than BBM. But at the crossroads, they decided to take the road which the TraPos have casually taken. Nakakapanghinayang. Nakakalungkot. 🤮",,Twitter Web App,jphabac high regard gent given experience credential They could even Leni even qualified crossroad decided take road TraPos casually taken Nakakapanghinayang Nakakalungkot
2347,webkinz bot🐾,,"I am a bot that posts a webkinz, either plush or virtual every hour! runs on cheapbotsdonequick 🐾 reply to a post with ""adopt a pet"" to get a pet!",False,2022-04-17 16:24:49,Zeb (Zumbuddy) https://t.co/eyottHku4X,,"Cheap Bots, Done Quick!",Zumbuddy http //t.co/eyottHku4X
2348,ry 🇳🇬,,@Sporting_CP 🦁,False,2022-04-17 16:24:49,I’ll snap if Esgaio plays LWB tonight.,,Twitter for iPhone,snap Esgaio play tonight
2349,J. Jonah Jameson,"New York, USA",Bring me photos of Spiderman!!!,False,2022-04-17 16:24:49,@Emilio_647 @mrpapageorg1o @platadiablo @Deen_Matter @stowebel @WSJ Because there’s a large difference between kids in Grade 3 and kids in Grade 8. No one fighting this bill is wanting sexuality to be taught to kindergarteners. They want kids that are in the LGBTQ community to be acknowledged as existing. It reduces suicide rates substantially.,,Twitter for iPhone,Emilio_647 mrpapageorg1o platadiablo Deen_Matter stowebel Because large difference kid Grade kid Grade fighting bill wanting sexuality taught kindergartener They want kid LGBTQ community acknowledged existing reduces suicide rate substantially
2350,Wendy Emery,California,"High vibin, spiritual warrior, rocker chick, do NOT comply!",False,2022-04-17 16:24:49,@callmeatrumpfan @DegiorgioElaine No I don't believe that at all.  She is being grounded with nature and she is sharing love and light.  The world needs this right now. Jesus approves this message.,,Twitter Web App,callmeatrumpfan DegiorgioElaine believe grounded nature sharing love light world need right Jesus approves message
2351,Santoshi Singh Rajput 🇮🇳,,"Be Positive                                                         

Risk Is Always Better Than Regret                        

I Believe Truth Is Always Win🔱",False,2022-04-17 16:24:49,"Hat's Of To You London Warrior's 🙏 
Weldone Warrior's 👍👏👏 
Your Dedication Your Love For SSR It's Amazing 
Keep Roaring 
Keep Shining 
Keep Fighting For SSR Justice 
More Power To You Warrior's 👍🔱 
Justice For SSR 
#LondonWarriorsRoar4SSR 
#JusticeForSushantSinghRajput https://t.co/5h8xqOs8mU",,Twitter for Android,London Warrior Weldone Warrior Your Dedication Your Love Amazing Keep Roaring Keep Shining Keep Fighting Justice More Power Warrior Justice LondonWarriorsRoar4SSR JusticeForSushantSinghRajput http //t.co/5h8xqOs8mU
2352,Professor Bull🇮🇳🔆,Stock Market,"Stock market update
| Finance | Investment | IPO | CE | PE | Bank nifty | Nifty | F&O |
Not SEBI authorized | Index Option trader | NOTE: I DONT HV PAID CHANNEL",False,2022-04-17 16:24:49,@Triloch50684980 Hi sir follow us for stock market updates Thankyou,,Twitter for Android,Triloch50684980 follow stock market update Thankyou
2353,Charles,United States,I love Classic rock  Sports Betting  Jai Alai  Eaglets  Barn Owls  & Bit coin as well .,False,2022-04-17 16:24:49,@BessieBest77 it's still winter here..#28,,Twitter Web App,BessieBest77 still winter here..
2354,MLEgames,"Connecticut, USA",@PUBG Partner | Content Creator for @SDRarity | Think +,False,2022-04-17 16:24:49,@svperfecta pick up a new modem* hehe,,Twitter Web App,svperfecta pick modem* hehe
2355,Robert Barnes,"College Point, NY",,False,2022-04-17 16:24:49,@svperfecta pick up a new modem* hehe,,Twitter for Android,svperfecta pick modem* hehe
2356,Stevie Joe Payne,"Bartlesville, OK","United States Navy 1961-1965. I am a high school dropout who finished high school post navy, started college at 29, graduated at 57. Sense of humor 27½ %.",False,2022-04-17 16:24:49,@nathaliejacoby1 Three old kittens. Mom Snarls is on break. https://t.co/WG7ZahCyix,,Twitter for Android,nathaliejacoby1 Three kitten Snarls break http //t.co/WG7ZahCyix
